,City,Country,Latitude,Longitude,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nuuk,GL,64.17,-51.74,1548535750,29.78,90,36,19.06
1,Georgetown,GY,6.8,-58.16,1548532800,83.37,78,40,11.41
2,Khatanga,RU,71.98,102.47,1548535750,-11.9,76,64,8.43
3,Kapaa,US,22.08,-159.32,1548532560,73.53,51,75,20.8
4,Hermanus,ZA,-34.42,19.24,1548535751,67.26,67,0,6.2
5,Zhigansk,RU,66.77,123.37,1548535751,-38.31,79,20,3.96
6,Saint George,GR,39.45,22.34,1548532200,41.14,93,75,4.7
7,Avera,US,33.19,-82.53,1548534900,54.79,25,1,5.82
8,Campbellsville,US,37.34,-85.34,1548534900,38.62,45,40,11.41
9,Lebu,ET,8.96,38.73,1548535751,43.23,82,0,3.51
10,Qaanaaq,GL,77.48,-69.36,1548535752,-20.49,86,0,6.53
11,Xai-Xai,MZ,-25.04,33.64,1548535752,76.44,95,92,18.5
12,Talaya,RU,55.79,84.89,1548534600,14.0,85,40,11.18
13,Punta Arenas,CL,-53.16,-70.91,1548532800,57.2,47,75,23.04
14,Matara,PE,-13.74,-72.9,1548535752,59.48,55,44,2.51
15,Torbay,CA,47.66,-52.73,1548532800,32.0,96,40,6.93
16,Puerto Ayora,EC,-0.74,-90.35,1548532800,87.8,55,20,14.99
17,Yellowknife,CA,62.45,-114.38,1548533580,-2.21,84,90,2.24
18,Provideniya,RU,64.42,-173.23,1548535753,14.21,100,56,16.15
19,Hilo,US,19.71,-155.08,1548532380,71.96,68,1,14.99
20,East London,ZA,-33.02,27.91,1548535753,69.83,100,88,17.05
21,Dawson Creek,CA,55.76,-120.23,1548532800,43.56,78,20,12.75
22,Gamba,CN,28.28,88.52,1548535753,-8.79,54,24,3.18
23,Carutapera,BR,-1.2,-46.02,1548535753,79.5,91,64,4.18
24,Ribeira Grande,PT,38.52,-28.7,1548532800,59.0,72,20,8.05
25,Tiksi,RU,71.64,128.87,1548535753,-29.4,47,36,5.19
26,Thonon-les-Bains,FR,46.37,6.48,1548534000,34.16,80,0,3.36
27,Marshall,US,39.39,-87.69,1548534900,27.61,97,90,8.05
28,Pringsewu,ID,-5.36,104.98,1548535754,71.99,95,64,2.51
29,Liberal,US,37.04,-100.92,1548534900,47.82,42,40,11.41
30,Kahului,US,20.89,-156.47,1548532560,70.39,49,75,21.92
31,Lavrentiya,RU,65.58,-170.99,1548535754,15.29,100,80,6.42
32,Port Blair,IN,11.67,92.75,1548535755,82.11,100,0,12.46
33,Aklavik,CA,68.22,-135.01,1548532800,2.14,77,90,11.41
34,Rikitea,PF,-23.12,-134.97,1548535755,81.03,97,8,13.47
35,Busselton,AU,-33.64,115.35,1548535755,58.58,100,0,15.26
36,Filomeno Mata,MX,20.2,-97.7,1548531720,68.0,94,90,3.51
37,Kloulklubed,PW,7.04,134.26,1548532200,77.0,88,75,11.23
38,Castro,CL,-42.48,-73.76,1548532800,62.6,51,0,9.17
39,Luderitz,NA,-26.65,15.16,1548535756,62.13,77,0,15.7
40,Vaini,IN,15.34,74.49,1548535757,52.82,84,0,1.5
41,Bluff,AU,-23.58,149.07,1548535757,75.99,79,80,10.45
42,Rundu,NA,-17.91,19.77,1548535757,74.46,79,92,4.41
43,Atuona,PF,-9.8,-139.03,1548535757,78.06,100,76,14.7
44,Mayumba,GA,-3.44,10.65,1548535757,79.95,100,80,7.99
45,Nemuro,JP,43.32,145.57,1548535757,26.81,100,44,24.32
46,Vestmanna,FO,62.16,-7.17,1548534000,35.6,69,48,46.08
47,Pangnirtung,CA,66.15,-65.72,1548532800,15.8,61,75,28.86
48,Adrar,DZ,27.87,-0.29,1548532800,62.6,33,0,9.17
49,Bredasdorp,ZA,-34.53,20.04,1548532800,71.6,73,0,18.34
50,High Level,CA,58.52,-117.13,1548532800,14.0,92,75,3.36
51,Mataura,NZ,-46.19,168.86,1548535758,64.52,80,0,10.45
52,Moron,VE,10.49,-68.2,1548535810,80.54,52,64,2.95
53,Coos Bay,US,43.37,-124.22,1548532560,53.96,69,1,3.06
54,Mar del Plata,AR,-46.43,-67.52,1548535810,73.56,29,0,13.47
55,Barrow,AR,-38.31,-60.23,1548535810,71.94,54,0,14.47
56,Kodiak,US,39.95,-94.76,1548534900,33.75,43,1,8.05
57,Marsh Harbour,BS,26.54,-77.06,1548535696,67.58,100,100,17.05
58,Bethel,US,60.79,-161.76,1548534660,35.46,74,90,21.92
59,Laizhou,CN,37.18,119.93,1548535811,13.53,100,0,6.42
60,Vila Velha,BR,-3.71,-38.6,1548532800,82.4,78,75,6.93
61,Cidreira,BR,-30.17,-50.22,1548535812,82.11,71,0,18.84
62,Salalah,OM,17.01,54.1,1548532200,73.4,64,20,4.7
63,Ludvika,SE,60.15,15.18,1548534000,10.4,100,68,2.24
64,Salamiyah,SY,35.01,37.05,1548535812,40.89,64,0,7.43
65,Olga,US,34.11,-118.17,1548534900,75.87,10,1,9.17
66,Scarborough,GB,54.28,-0.41,1548532200,45.18,93,76,13.87
67,Tutoia,BR,-2.76,-42.27,1548532800,86.0,55,20,11.41
68,Bilma,NE,18.69,12.92,1548535813,53.36,31,0,5.97
69,Tuktoyaktuk,CA,69.44,-133.03,1548532800,-5.81,76,90,19.46
70,Amahai,ID,-3.31,129.0,1548535813,83.1,100,32,10.11
71,Albany,US,42.65,-73.75,1548533880,22.71,42,75,9.17
72,Tilichiki,RU,60.47,166.1,1548535813,-21.17,30,0,2.95
73,Tura,IN,25.52,90.21,1548535813,59.34,79,92,2.51
74,Chapais,CA,49.78,-74.86,1548532800,-16.61,62,20,8.05
75,Carnarvon,ZA,-30.97,22.13,1548535814,66.23,36,0,12.8
76,Harper,US,30.3,-99.24,1548534900,60.76,55,75,3.36
77,Avarua,CK,-21.21,-159.78,1548536400,80.6,88,75,20.8
78,Lagoa,PT,37.14,-8.45,1548532800,55.4,87,0,6.93
79,Port Alfred,ZA,-33.59,26.89,1548535815,68.61,87,44,16.6
80,Zhuanghe,CN,39.7,122.97,1548535815,20.96,100,0,6.76
81,Chokurdakh,RU,70.62,147.9,1548535815,-37.64,0,44,3.06
82,Broome,GB,52.47,1.45,1548532560,46.9,93,75,16.11
83,Whitehorse,CA,60.72,-135.06,1548533940,30.2,86,90,18.34
84,Richards Bay,ZA,-28.77,32.06,1548535815,67.71,94,92,3.51
85,Lasa,CY,34.92,32.53,1548532800,60.8,55,40,11.41
86,Nikolskoye,RU,59.7,30.79,1548534600,10.4,85,75,4.47
87,Longyearbyen,NO,78.22,15.63,1548532200,24.8,68,20,13.87
88,Barcelona,ES,41.38,2.18,1548532800,51.78,87,20,9.17
89,Westport,IE,53.8,-9.52,1548535816,43.37,95,36,31.14
90,Dudinka,RU,69.41,86.18,1548535816,-12.66,60,56,13.13
91,Kununurra,AU,-15.77,128.74,1548532800,78.8,88,36,8.77
92,Antofagasta,CL,-23.65,-70.4,1548532800,73.4,56,20,12.75
93,Lokosovo,RU,61.13,74.84,1548535817,-16.98,75,24,8.66
94,Hithadhoo,MV,-0.6,73.08,1548535817,80.85,100,88,9.44
95,Dunedin,NZ,-45.87,170.5,1548535817,70.37,67,0,5.53
96,Tasiilaq,GL,65.61,-37.64,1548532200,21.2,53,75,25.28
97,Komsomolskiy,RU,67.55,63.78,1548535817,-22.11,65,68,3.51
98,Halifax,CA,44.65,-63.58,1548532800,32.0,96,75,10.29
99,Pasni,PK,25.26,63.48,1548535818,70.95,93,0,10.45
100,Jiamusi,CN,46.81,130.37,1548535818,4.67,60,0,10.11
101,Severo-Kurilsk,RU,50.68,156.12,1548535818,24.06,100,64,4.74
102,Tautira,PF,-17.73,-149.15,1548534600,86.0,66,75,12.75
103,Ushuaia,AR,-54.81,-68.31,1548532800,55.4,43,75,21.92
104,Thompson,CA,55.74,-97.86,1548532800,-22.01,61,20,4.7
